tweet_id	retweet_count	favorite_count
892420643555336193	7174	34480.0
892177421306343426	5391	29908.0
891815181378084864	3553	22506.0
891689557279858688	7398	37720.0
891327558926688256	7933	36015.0
891087950875897856	2667	18179.0
890971913173991426	1711	10583.0
890729181411237888	16144	58037.0
890609185150312448	3700	25028.0
890240255349198849	6231	28543.0
890006608113172480	6278	27566.0
889880896479866881	4265	25067.0
889665388333682689	8546	42924.0
889638837579907072	3814	24152.0
889531135344209921	1922	13610.0
889278841981685760	4550	22565.0
888917238123831296	3832	26146.0
888804989199671297	3618	22915.0
888554962724278272	2941	17674.0
888078434458587136	2961	19525.0
887705289381826560	4637	27158.0
887517139158093824	10060	41581.0
887473957103951883	15357	61445.0
887343217045368832	9011	30188.0
887101392804085760	5093	27508.0
886983233522544640	6502	31016.0
886736880519319552	2710	10695.0
886680336477933568	3821	20145.0
886366144734445568	2696	18927.0
886267009285017600	3	104.0
886258384151887873	5402	25070.0
886054160059072513	95	0.0
885984800019947520	5745	29188.0
885528943205470208	5460	32224.0
885518971528720385	3183	18366.0
885311592912609280	15795	0.0
885167619883638784	3738	19621.0
884925521741709313	15396	68748.0
884876753390489601	4768	24902.0
884562892145688576	3999	21766.0
884441805382717440	4885	24341.0
884247878851493888	17304	64693.0
884162670584377345	2547	18308.0
883838122936631299	2925	19581.0
883482846933004288	8458	41041.0
883360690899218434	3148	20352.0
883117836046086144	5654	33203.0
882992080364220416	3303	21398.0
882762694511734784	4189	25284.0
882627270321602560	5187	25122.0
882268110199369728	9893	40021.0
882045870035918850	4167	26276.0
881906580714921986	2911	21868.0
881666595344535552	9167	45471.0
881633300179243008	8	113.0
881536004380872706	13708	44332.0
881268444196462592	4572	20907.0
880935762899988482	2387	15344.0
880872448815771648	3274	19112.0
880465832366813184	5320	25495.0
880221127280381952	3556	24174.0
880095782870896641	3735	24803.0
879862464715927552	2988	20101.0
879674319642796034	9	285.0
879492040517615616	2704	21123.0
879415818425184262	38306	94741.0
879376492567855104	2692	15137.0
879130579576475649	5856	0.0
879050749262655488	4033	20225.0
879008229531029506	2296	17103.0
878776093423087618	3513	17460.0
878604707211726852	6051	26949.0
878404777348136964	1094	0.0
878316110768087041	5668	0.0
878281511006478336	1094	6928.0
878057613040115712	5856	37842.0
877736472329191424	16203	70821.0
877611172832227328	70	0.0
877556246731214848	3245	20362.0
877316821321428993	4452	24651.0
877201837425926144	4743	24333.0
876838120628539392	2860	18583.0
876537666061221889	4065	21436.0
876484053909872640	2044	16900.0
876120275196170240	3997	25180.0
875747767867523072	3666	22608.0
875144289856114688	4229	19769.0
875097192612077568	5244	24726.0
875021211251597312	4067	23001.0
874680097055178752	4009	25083.0
874434818259525634	12505	0.0
874296783580663808	3557	23478.0
874057562936811520	3455	20538.0
874012996292530176	8766	30737.0
873580283840344065	3402	21861.0
873337748698140672	1357	0.0
873213775632977920	1357	6444.0
872967104147763200	4659	24555.0
872820683541237760	3231	13325.0
872620804844003328	3134	18726.0
872486979161796608	7883	36844.0
872122724285648897	7002	30874.0
871879754684805121	9450	33803.0
871762521631449091	3030	18257.0
871515927908634625	3008	18246.0
871166179821445120	4992	0.0
871102520638267392	4798	18921.0
871032628920680449	3299	20566.0
870804317367881728	5379	30417.0
